workbook_row_id,resolution_id,execution_id,import_row_id,organization_seed,source_type,search_query_1,search_query_2,search_query_3,search_query_4,resolved_source_url,resolved_source_title,resolved_organization_name,resolved_contact_page_url,resolved_contact_route,resolved_contact_route_type,resolved_contact_person_or_role,evidence_note,founder_review_notes,resolution_status
BD_RESOLUTION_WORKBOOK_0020,BD_SOURCE_RESOLUTION_0020,IMPORT_EXEC_0020,BD_SOURCE_IMPORT_ROW_000020,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0021,BD_SOURCE_RESOLUTION_0021,IMPORT_EXEC_0021,BD_SOURCE_IMPORT_ROW_000021,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0022,BD_SOURCE_RESOLUTION_0022,IMPORT_EXEC_0022,BD_SOURCE_IMPORT_ROW_000022,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0023,BD_SOURCE_RESOLUTION_0023,IMPORT_EXEC_0023,BD_SOURCE_IMPORT_ROW_000023,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0024,BD_SOURCE_RESOLUTION_0024,IMPORT_EXEC_0024,BD_SOURCE_IMPORT_ROW_000024,Motorcycle Rally Organizers,PUBLIC_EVENT_SOURCE,Motorcycle Rally Organizers official website,Motorcycle Rally Organizers training division contact,Motorcycle Rally Organizers law enforcement training contact,Motorcycle Rally Organizers public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0025,BD_SOURCE_RESOLUTION_0025,IMPORT_EXEC_0025,BD_SOURCE_IMPORT_ROW_000025,VFW Posts,PUBLIC_VETERAN_SOURCE,VFW Posts official website,VFW Posts training division contact,VFW Posts law enforcement training contact,VFW Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0026,BD_SOURCE_RESOLUTION_0026,IMPORT_EXEC_0026,BD_SOURCE_IMPORT_ROW_000026,American Legion Posts,PUBLIC_VETERAN_SOURCE,American Legion Posts official website,American Legion Posts training division contact,American Legion Posts law enforcement training contact,American Legion Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0027,BD_SOURCE_RESOLUTION_0027,IMPORT_EXEC_0027,BD_SOURCE_IMPORT_ROW_000027,Combat Veteran Motorcycle Associations,PUBLIC_ASSOCIATION_SOURCE,Combat Veteran Motorcycle Associations official website,Combat Veteran Motorcycle Associations training division contact,Combat Veteran Motorcycle Associations law enforcement training contact,Combat Veteran Motorcycle Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0028,BD_SOURCE_RESOLUTION_0028,IMPORT_EXEC_0028,BD_SOURCE_IMPORT_ROW_000028,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0029,BD_SOURCE_RESOLUTION_0029,IMPORT_EXEC_0029,BD_SOURCE_IMPORT_ROW_000029,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0030,BD_SOURCE_RESOLUTION_0030,IMPORT_EXEC_0030,BD_SOURCE_IMPORT_ROW_000030,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0031,BD_SOURCE_RESOLUTION_0031,IMPORT_EXEC_0031,BD_SOURCE_IMPORT_ROW_000031,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0032,BD_SOURCE_RESOLUTION_0032,IMPORT_EXEC_0032,BD_SOURCE_IMPORT_ROW_000032,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0033,BD_SOURCE_RESOLUTION_0033,IMPORT_EXEC_0033,BD_SOURCE_IMPORT_ROW_000033,Motorcycle Rally Organizers,PUBLIC_EVENT_SOURCE,Motorcycle Rally Organizers official website,Motorcycle Rally Organizers training division contact,Motorcycle Rally Organizers law enforcement training contact,Motorcycle Rally Organizers public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0034,BD_SOURCE_RESOLUTION_0034,IMPORT_EXEC_0034,BD_SOURCE_IMPORT_ROW_000034,VFW Posts,PUBLIC_VETERAN_SOURCE,VFW Posts official website,VFW Posts training division contact,VFW Posts law enforcement training contact,VFW Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0035,BD_SOURCE_RESOLUTION_0035,IMPORT_EXEC_0035,BD_SOURCE_IMPORT_ROW_000035,American Legion Posts,PUBLIC_VETERAN_SOURCE,American Legion Posts official website,American Legion Posts training division contact,American Legion Posts law enforcement training contact,American Legion Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0036,BD_SOURCE_RESOLUTION_0036,IMPORT_EXEC_0036,BD_SOURCE_IMPORT_ROW_000036,Combat Veteran Motorcycle Associations,PUBLIC_ASSOCIATION_SOURCE,Combat Veteran Motorcycle Associations official website,Combat Veteran Motorcycle Associations training division contact,Combat Veteran Motorcycle Associations law enforcement training contact,Combat Veteran Motorcycle Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0037,BD_SOURCE_RESOLUTION_0037,IMPORT_EXEC_0037,BD_SOURCE_IMPORT_ROW_000037,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0038,BD_SOURCE_RESOLUTION_0038,IMPORT_EXEC_0038,BD_SOURCE_IMPORT_ROW_000038,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0039,BD_SOURCE_RESOLUTION_0039,IMPORT_EXEC_0039,BD_SOURCE_IMPORT_ROW_000039,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0040,BD_SOURCE_RESOLUTION_0040,IMPORT_EXEC_0040,BD_SOURCE_IMPORT_ROW_000040,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0041,BD_SOURCE_RESOLUTION_0041,IMPORT_EXEC_0041,BD_SOURCE_IMPORT_ROW_000041,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0042,BD_SOURCE_RESOLUTION_0042,IMPORT_EXEC_0042,BD_SOURCE_IMPORT_ROW_000042,Motorcycle Rally Organizers,PUBLIC_EVENT_SOURCE,Motorcycle Rally Organizers official website,Motorcycle Rally Organizers training division contact,Motorcycle Rally Organizers law enforcement training contact,Motorcycle Rally Organizers public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0043,BD_SOURCE_RESOLUTION_0043,IMPORT_EXEC_0043,BD_SOURCE_IMPORT_ROW_000043,VFW Posts,PUBLIC_VETERAN_SOURCE,VFW Posts official website,VFW Posts training division contact,VFW Posts law enforcement training contact,VFW Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0044,BD_SOURCE_RESOLUTION_0044,IMPORT_EXEC_0044,BD_SOURCE_IMPORT_ROW_000044,American Legion Posts,PUBLIC_VETERAN_SOURCE,American Legion Posts official website,American Legion Posts training division contact,American Legion Posts law enforcement training contact,American Legion Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0045,BD_SOURCE_RESOLUTION_0045,IMPORT_EXEC_0045,BD_SOURCE_IMPORT_ROW_000045,Combat Veteran Motorcycle Associations,PUBLIC_ASSOCIATION_SOURCE,Combat Veteran Motorcycle Associations official website,Combat Veteran Motorcycle Associations training division contact,Combat Veteran Motorcycle Associations law enforcement training contact,Combat Veteran Motorcycle Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0046,BD_SOURCE_RESOLUTION_0046,IMPORT_EXEC_0046,BD_SOURCE_IMPORT_ROW_000046,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0047,BD_SOURCE_RESOLUTION_0047,IMPORT_EXEC_0047,BD_SOURCE_IMPORT_ROW_000047,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0048,BD_SOURCE_RESOLUTION_0048,IMPORT_EXEC_0048,BD_SOURCE_IMPORT_ROW_000048,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0049,BD_SOURCE_RESOLUTION_0049,IMPORT_EXEC_0049,BD_SOURCE_IMPORT_ROW_000049,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0050,BD_SOURCE_RESOLUTION_0050,IMPORT_EXEC_0050,BD_SOURCE_IMPORT_ROW_000050,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0051,BD_SOURCE_RESOLUTION_0051,IMPORT_EXEC_0051,BD_SOURCE_IMPORT_ROW_000051,Motorcycle Rally Organizers,PUBLIC_EVENT_SOURCE,Motorcycle Rally Organizers official website,Motorcycle Rally Organizers training division contact,Motorcycle Rally Organizers law enforcement training contact,Motorcycle Rally Organizers public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0052,BD_SOURCE_RESOLUTION_0052,IMPORT_EXEC_0052,BD_SOURCE_IMPORT_ROW_000052,VFW Posts,PUBLIC_VETERAN_SOURCE,VFW Posts official website,VFW Posts training division contact,VFW Posts law enforcement training contact,VFW Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0053,BD_SOURCE_RESOLUTION_0053,IMPORT_EXEC_0053,BD_SOURCE_IMPORT_ROW_000053,American Legion Posts,PUBLIC_VETERAN_SOURCE,American Legion Posts official website,American Legion Posts training division contact,American Legion Posts law enforcement training contact,American Legion Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0054,BD_SOURCE_RESOLUTION_0054,IMPORT_EXEC_0054,BD_SOURCE_IMPORT_ROW_000054,Combat Veteran Motorcycle Associations,PUBLIC_ASSOCIATION_SOURCE,Combat Veteran Motorcycle Associations official website,Combat Veteran Motorcycle Associations training division contact,Combat Veteran Motorcycle Associations law enforcement training contact,Combat Veteran Motorcycle Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0055,BD_SOURCE_RESOLUTION_0055,IMPORT_EXEC_0055,BD_SOURCE_IMPORT_ROW_000055,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0056,BD_SOURCE_RESOLUTION_0056,IMPORT_EXEC_0056,BD_SOURCE_IMPORT_ROW_000056,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0057,BD_SOURCE_RESOLUTION_0057,IMPORT_EXEC_0057,BD_SOURCE_IMPORT_ROW_000057,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0058,BD_SOURCE_RESOLUTION_0058,IMPORT_EXEC_0058,BD_SOURCE_IMPORT_ROW_000058,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0059,BD_SOURCE_RESOLUTION_0059,IMPORT_EXEC_0059,BD_SOURCE_IMPORT_ROW_000059,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0060,BD_SOURCE_RESOLUTION_0060,IMPORT_EXEC_0060,BD_SOURCE_IMPORT_ROW_000060,Motorcycle Rally Organizers,PUBLIC_EVENT_SOURCE,Motorcycle Rally Organizers official website,Motorcycle Rally Organizers training division contact,Motorcycle Rally Organizers law enforcement training contact,Motorcycle Rally Organizers public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0061,BD_SOURCE_RESOLUTION_0061,IMPORT_EXEC_0061,BD_SOURCE_IMPORT_ROW_000061,VFW Posts,PUBLIC_VETERAN_SOURCE,VFW Posts official website,VFW Posts training division contact,VFW Posts law enforcement training contact,VFW Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0062,BD_SOURCE_RESOLUTION_0062,IMPORT_EXEC_0062,BD_SOURCE_IMPORT_ROW_000062,American Legion Posts,PUBLIC_VETERAN_SOURCE,American Legion Posts official website,American Legion Posts training division contact,American Legion Posts law enforcement training contact,American Legion Posts public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0063,BD_SOURCE_RESOLUTION_0063,IMPORT_EXEC_0063,BD_SOURCE_IMPORT_ROW_000063,Combat Veteran Motorcycle Associations,PUBLIC_ASSOCIATION_SOURCE,Combat Veteran Motorcycle Associations official website,Combat Veteran Motorcycle Associations training division contact,Combat Veteran Motorcycle Associations law enforcement training contact,Combat Veteran Motorcycle Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0064,BD_SOURCE_RESOLUTION_0064,IMPORT_EXEC_0064,BD_SOURCE_IMPORT_ROW_000064,State POST Academies,OFFICIAL_STATE_SOURCE,State POST Academies official website,State POST Academies training division contact,State POST Academies law enforcement training contact,State POST Academies public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0065,BD_SOURCE_RESOLUTION_0065,IMPORT_EXEC_0065,BD_SOURCE_IMPORT_ROW_000065,Sheriff Associations,OFFICIAL_ASSOCIATION_SOURCE,Sheriff Associations official website,Sheriff Associations training division contact,Sheriff Associations law enforcement training contact,Sheriff Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0066,BD_SOURCE_RESOLUTION_0066,IMPORT_EXEC_0066,BD_SOURCE_IMPORT_ROW_000066,Police Training Conferences,PUBLIC_EVENT_SOURCE,Police Training Conferences official website,Police Training Conferences training division contact,Police Training Conferences law enforcement training contact,Police Training Conferences public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0067,BD_SOURCE_RESOLUTION_0067,IMPORT_EXEC_0067,BD_SOURCE_IMPORT_ROW_000067,Motorcycle Dealerships,PUBLIC_BUSINESS_SOURCE,Motorcycle Dealerships official website,Motorcycle Dealerships training division contact,Motorcycle Dealerships law enforcement training contact,Motorcycle Dealerships public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
BD_RESOLUTION_WORKBOOK_0068,BD_SOURCE_RESOLUTION_0068,IMPORT_EXEC_0068,BD_SOURCE_IMPORT_ROW_000068,Rider Associations,PUBLIC_ASSOCIATION_SOURCE,Rider Associations official website,Rider Associations training division contact,Rider Associations law enforcement training contact,Rider Associations public safety training contact,,,,,,,,,,AWAITING_REAL_PUBLIC_SOURCE
